MOFNAME,PS,WS,MC,UPTAKE,QH
WEGKIE_clean,11.12087,6.65331,1.35548,9.355955311,31.9149
WEMYEU_clean,5.35582,4.09471,0.845573,5.007522863,30.8461
WESYAV_clean,4.87361,4.61034,0.976595,4.423997655,33.7363
WIKXAQ_clean,7.61954,3.92787,0.689426,8.989081274,23.0451
WIVVII_clean,5.53507,3.32928,1.12843,3.093693619,31.7396
WIZKOH_clean,6.09672,4.22892,1.05555,11.17070744,33.4821
WOCWAN_clean,5.80963,5.50482,1.03578,2.787180515,29.5376
WODROY_clean,5.0308,3.32117,1.13452,2.458791162,32.2999
WOHBIF_clean,4.33773,3.41599,1.00484,1.531517166,32.2893
WOLRIZ_clean,11.03643,6.52149,0.492482,13.27642336,29.1674
WORREC_clean,7.54466,5.76979,0.998954,16.00591817,29.1675
WOSHET_clean,5.11803,3.57569,0.574988,1.356997977,27.9532
WOTLOI_clean,8.00513,4.84682,0.764893,6.945733334,31.5346
WOYJIF_clean,12.3325,5.92345,0.975215,14.71306553,27.7028
WOYJOL_clean,12.52097,5.76234,0.988315,14.2106045,28.4809
WUKXEH_clean,20.08743,6.60038,1.05927,15.73915865,21.2521
WULJUJ_clean,13.2515,6.69559,0.959749,13.44397329,27.6379
WULKAQ_clean,13.2528,6.68289,0.979342,13.39144357,27.6568
WURNOO_clean,6.92026,6.59227,0.951753,3.280596776,28.0068
WUSSEK_clean,8.48774,6.12459,1.04145,7.950341169,28.4394
WUYXAR_clean,9.35403,6.16685,0.953864,12.28340636,24.394
WUZDOL_clean,5.93429,4.20385,0.428825,3.034343398,27.6443
WUZQOZ_clean,6.97207,5.82661,0.768163,9.427217664,30.1579
XACZEH_clean,10.60893,7.2431,0.791273,5.552461253,26.6842
XADCEM_clean,8.43446,8.11603,0.715333,11.03120642,34.9684
XADDEN_manual,13.23644,6.65907,0.966202,14.04663812,28.2023
XADDIR_manual,13.24642,6.64739,0.970895,14.03032681,28.2131
XAFFOB_clean,14.83912,13.174,0.964007,12.0437479,14.8207
XAFFUH_clean,23.72832,19.63801,0.976117,13.03384815,15.8003
XAHPAZ_clean,8.5954,7.40656,0.957404,14.25197766,24.772
XAHPED_clean,12.36916,10.86748,0.971277,12.49516413,16.0293
XAHPIH_clean,14.31673,13.37952,1.02459,11.99410666,15.2289
XAHPON_clean,17.29514,15.33221,1.0187,11.55036932,14.2881
XAHPUT_clean,21.82812,20.58591,0.968737,10.54995646,12.0844
XAHQAA_clean,23.03533,21.60719,1.02243,10.78705308,11.9763
XAKQOR_clean,6.07415,4.27878,1.02652,7.246584849,30.1506
XALXUF01_clean,16.53276,6.69779,0.984191,14.7283966,25.1062
XALXUF_clean,16.29659,6.6292,0.975604,14.39077085,25.1136
XAMDUM01_clean,13.18662,6.72456,0.981328,14.02877276,28.5568
XAMDUM02_clean,13.17767,6.71826,0.97711,14.09761585,28.9991
XAMDUM03_clean,13.16192,6.69067,0.97539,14.08209397,28.2254
XAMDUM04_clean,12.94074,6.40333,1.06832,13.96024379,29.7523
XAMDUM05_clean,13.11018,6.61787,0.985063,13.99955376,28.8364
XAMDUM06_clean,13.1663,6.64621,0.976987,13.97723085,28.4117
XAMDUM_clean,13.20706,6.72961,0.97613,14.04487741,28.0004
XARPAK_clean,5.96341,5.54999,0.914485,8.486921956,35.3178
XASFAY_clean,4.84062,3.90347,0.683733,5.168280647,30.9298
XAVKIR_clean,15.62831,12.51365,1.01442,13.81481435,19.3288
XAWVUN_clean,10.78711,9.22291,0.981046,16.15588561,18.095
XEBHOC_clean,12.08201,9.91355,0.987109,15.79111637,17.8563
XEFGAQ_clean,4.04864,3.84801,0.725391,2.819556137,30.4729
XEFKOI_clean,4.24138,4.03203,0.725542,2.971720862,29.728
XEKDOI_clean,4.10568,3.45704,0.939366,2.725608117,31.9753
XICDUI_charged,5.89843,4.99085,0.862834,5.556056013,34.1598
XIDSUZ_clean,16.05314,15.78983,0.758316,13.65933128,19.3287
XITYOP_clean,11.26084,5.01855,0.993222,13.50240239,29.72
XOJWEZ_clean,5.26222,4.56445,0.72075,2.878863044,33.4477
XONLES01_clean,15.55222,13.97126,0.976878,11.40379798,14.6537
XOPLOE_clean,7.50726,5.3332,0.968918,8.977744306,29.8597
XOVPUU_clean,11.45503,9.77333,0.995022,14.69312068,16.3978
XOVQAB_clean,9.04253,7.30249,0.989962,15.95848666,23.1609
XUDNUH_clean,12.36127,6.84234,0.963964,16.21344756,19.1075
XUDPIX_clean,11.39057,6.9563,1.00455,16.9371202,21.8098
XUGROI_clean,6.64754,5.07389,0.919939,13.28549597,30.1869
XUKYEI_neutral,13.17229,10.75846,0.891846,7.835004927,11.9612
XUMMOJ_clean,8.37622,7.86065,0.850657,5.412131511,26.6601
XUMMUP_clean,8.4295,7.42103,0.936506,5.105182855,25.1794
XUWFUR_clean,8.57387,5.22151,0.662432,5.776691555,27.3023
YABHER_clean,14.37293,4.52414,0.969207,14.29895018,24.3518
YAPLUY_clean,7.79113,6.77532,0.806188,7.609161965,26.1764
YAVWUQ_clean,15.48597,6.62234,1.04009,14.63494863,23.5353
YAVZAX_clean,5.41112,4.55984,0.577017,3.77074578,29.2894
YAZWOM_clean,4.58853,4.19832,1.08957,0.966529253,25.4859
YEKXOD_clean,7.62702,5.92083,0.969842,8.835960996,28.4266
YEKXUJ_clean,7.55002,6.86281,0.973254,9.856447895,28.99
YINXIE_clean,6.16574,4.96395,0.919527,4.593449126,33.168
YIPDOR_clean,10.31977,7.54281,0.716211,14.79568563,17.9448
YOCLEJ_clean,13.16813,6.65727,0.970191,13.92472593,28.3819
YOCLIN_clean,13.22354,6.67449,0.975431,13.97713166,27.6126
YOCNAH_clean,6.22868,3.97762,1.0036,4.224363645,38.8406
YOLGUB_clean,7.59854,5.9029,0.572943,3.287226002,13.3825
YOZKOP_clean,5.21744,4.85597,0.979483,2.752162466,31.3349
YOZNAE_clean,13.27907,6.70029,0.977525,13.84855484,27.9286
YUGLES_clean,10.89993,6.77637,0.972951,17.27978744,27.566
YUKCAJ_clean,4.62174,3.64026,0.731969,3.302048963,31.1138
YUMYUC_clean,6.81125,6.65142,0.760954,7.167622003,33.31
ZACHIX_clean,13.14331,6.50331,0.988508,13.86726128,28.3718
ZAHLEC_clean,10.74057,8.40432,0.900112,18.69421774,20.9649
ZAXQOG_clean,5.67387,3.7719,0.748788,7.929042757,29.4469
ZAXQUM_charged,5.3015,3.54171,0.878761,3.174834867,34.4122
ZAZBUZ_clean,6.78822,5.70042,0.911324,7.399428624,33.781
ZECKID_clean,10.33934,8.28295,0.7455,12.89916534,20.1466
ZECKOJ_clean,10.01013,7.75871,0.749183,13.99089456,22.234
ZEVXAB_clean,8.31732,6.45797,0.784868,11.19952433,25.3457
ZIBRAD_clean,4.7566,3.38037,0.627219,3.614491714,33.4251
ZIDBEV_clean,9.63216,5.48309,0.665222,8.053403229,22.1137
ZIJVOF01_clean,5.27877,3.42429,0.754291,5.824131524,33.6336
ZIJVOF02_clean,5.27888,3.36573,0.750095,5.677138317,33.9553
ZIJVOF_clean,5.29078,3.31943,0.745532,5.318972621,32.0562
ZIKJIO_clean,7.07783,5.58584,0.961059,14.69826946,29.4995
ZIKJOU_clean,5.81598,3.9573,0.964234,10.73255527,35.0903
ZILFOR_manual,9.30653,7.96955,1.00172,16.80661592,24.1704
ZIQJEQ_clean,9.10665,6.72913,0.7144,12.71173521,23.0557
ZISYAD_clean,5.9099,4.91539,0.693651,4.673429781,32.1676
ZOXGOK_clean,6.81689,4.16129,0.876598,5.712096599,38.5327
acs.cgd.5b01686_WAHFUJ1434675_clean,5.00451,3.93435,1.07261,4.069778312,32.2101
acs.inorgchem.5b02973_ic5b02973_si_002_clean,11.38761,10.4443,1.07326,7.87488544,28.5036
